step,split,value
142,train_loss,0.0
142,train_reward,0.0
143,train_loss,0.0
143,train_reward,0.0
144,train_loss,0.0
144,train_reward,0.0
145,train_loss,0.0
145,train_reward,0.0
146,train_loss,-0.17319361865520477
146,train_reward,0.125
147,train_loss,0.0
147,train_reward,0.0
148,train_loss,0.0
148,train_reward,0.0
149,train_loss,0.0
149,train_reward,0.0
150,train_loss,0.0
150,train_reward,0.0
150,gsm8k_accuracy,0.0
151,train_loss,-0.18142269551753998
151,train_reward,0.125
152,train_loss,0.0
152,train_reward,0.0
153,train_loss,0.0
153,train_reward,0.0
154,train_loss,0.0
154,train_reward,0.0
155,train_loss,0.0
155,train_reward,0.0
156,train_loss,0.0
156,train_reward,0.0
157,train_loss,0.0
157,train_reward,0.0
158,train_loss,0.0
158,train_reward,0.0
159,train_loss,0.0
159,train_reward,0.0
160,train_loss,0.0
160,train_reward,0.0
161,train_loss,0.0
161,train_reward,0.0
162,train_loss,0.0
162,train_reward,0.0
163,train_loss,0.0
163,train_reward,0.0
164,train_loss,0.0
164,train_reward,0.0
165,train_loss,0.0
165,train_reward,0.0
166,train_loss,0.0
166,train_reward,0.0
167,train_loss,0.0
167,train_reward,0.0
168,train_loss,0.0
168,train_reward,0.0
169,train_loss,0.0
169,train_reward,0.0
170,train_loss,0.0
170,train_reward,0.0
171,train_loss,0.0
171,train_reward,0.0
172,train_loss,0.0
172,train_reward,0.0
173,train_loss,0.0
173,train_reward,0.0
174,train_loss,0.0
174,train_reward,0.0
175,train_loss,0.0
175,train_reward,0.0
176,train_loss,0.0
176,train_reward,0.0
177,train_loss,-0.06495917588472366
177,train_reward,0.125
178,train_loss,0.0
178,train_reward,0.0
179,train_loss,0.0
179,train_reward,0.0
180,train_loss,0.0
180,train_reward,0.0
181,train_loss,0.0
181,train_reward,0.0
182,train_loss,0.0
182,train_reward,0.0
183,train_loss,0.0
183,train_reward,0.0
184,train_loss,0.0
184,train_reward,0.0
185,train_loss,0.0
185,train_reward,0.0
186,train_loss,0.0
186,train_reward,0.0
187,train_loss,0.0
187,train_reward,0.0
188,train_loss,0.0
188,train_reward,0.0
189,train_loss,0.20908714830875397
189,train_reward,0.25
190,train_loss,0.0
190,train_reward,0.0
191,train_loss,0.0
191,train_reward,0.0
192,train_loss,0.0
192,train_reward,0.0
193,train_loss,0.0
193,train_reward,0.0
194,train_loss,0.0
194,train_reward,0.0
195,train_loss,0.0
195,train_reward,0.0
196,train_loss,0.0
196,train_reward,0.0
197,train_loss,0.0
197,train_reward,0.0
198,train_loss,0.0
198,train_reward,0.0
199,train_loss,-0.12632893025875092
199,train_reward,0.125
200,train_loss,0.0
200,train_reward,0.0
200,gsm8k_accuracy,0.03
201,train_loss,0.0
201,train_reward,0.0
202,train_loss,-0.202047199010849
202,train_reward,0.25
203,train_loss,0.0
203,train_reward,0.0
204,train_loss,0.0
204,train_reward,0.0
205,train_loss,0.0
205,train_reward,0.0
206,train_loss,0.0
206,train_reward,0.0
207,train_loss,0.0
207,train_reward,0.0
208,train_loss,0.0
208,train_reward,0.0
209,train_loss,-0.04745800048112869
209,train_reward,0.125
210,train_loss,0.0
210,train_reward,0.0
211,train_loss,0.0
211,train_reward,0.0
212,train_loss,0.0
212,train_reward,0.0
213,train_loss,0.0
213,train_reward,0.0
214,train_loss,0.0
214,train_reward,0.0
215,train_loss,0.0
215,train_reward,0.0
216,train_loss,0.0
216,train_reward,0.0
217,train_loss,0.0
217,train_reward,0.0
218,train_loss,0.0
218,train_reward,0.0
219,train_loss,0.0
219,train_reward,0.0
220,train_loss,0.0
220,train_reward,0.0
221,train_loss,0.0
221,train_reward,0.0
222,train_loss,0.0
222,train_reward,0.0
223,train_loss,0.0
223,train_reward,0.0
224,train_loss,-0.21980509161949158
224,train_reward,0.125
225,train_loss,0.0
225,train_reward,0.0
226,train_loss,0.0
226,train_reward,0.0
227,train_loss,0.0
227,train_reward,0.0
228,train_loss,0.0
228,train_reward,0.0
229,train_loss,0.0
229,train_reward,0.0
230,train_loss,0.0
230,train_reward,0.0
231,train_loss,0.0
231,train_reward,0.0
232,train_loss,0.0
232,train_reward,0.0
233,train_loss,0.0
233,train_reward,0.0
234,train_loss,0.0
234,train_reward,0.0
235,train_loss,0.0
235,train_reward,0.0
236,train_loss,0.0
236,train_reward,0.0
237,train_loss,0.0
237,train_reward,0.0
238,train_loss,0.0
238,train_reward,0.0
239,train_loss,0.0
239,train_reward,0.0
240,train_loss,-0.04160530865192413
240,train_reward,0.125
241,train_loss,0.0
241,train_reward,0.0
242,train_loss,0.0
242,train_reward,0.0
243,train_loss,0.0
243,train_reward,0.0
244,train_loss,0.0
244,train_reward,0.0
245,train_loss,0.0
245,train_reward,0.0
246,train_loss,0.0
246,train_reward,0.0
247,train_loss,0.0
247,train_reward,0.0
248,train_loss,0.0
248,train_reward,0.0
249,train_loss,0.0
249,train_reward,0.0
250,train_loss,0.0
250,train_reward,0.0
250,gsm8k_accuracy,0.01
251,train_loss,0.0
251,train_reward,0.0
252,train_loss,0.0
252,train_reward,0.0
253,train_loss,0.0
253,train_reward,0.0
254,train_loss,0.0
254,train_reward,0.0
255,train_loss,0.0
255,train_reward,0.0
256,train_loss,0.0
256,train_reward,0.0
257,train_loss,0.0
257,train_reward,0.0
258,train_loss,0.0
258,train_reward,0.0
259,train_loss,0.0
259,train_reward,0.0
260,train_loss,0.0
260,train_reward,0.0
261,train_loss,0.0
261,train_reward,0.0
262,train_loss,0.0
262,train_reward,0.0
263,train_loss,0.28915682435035706
263,train_reward,0.125
264,train_loss,0.0
264,train_reward,0.0
265,train_loss,0.0
265,train_reward,0.0
266,train_loss,0.0
266,train_reward,0.0
267,train_loss,0.0
267,train_reward,0.0
268,train_loss,-0.6502957344055176
268,train_reward,0.375
269,train_loss,0.0
269,train_reward,0.0
270,train_loss,0.0
270,train_reward,0.0
271,train_loss,0.0
271,train_reward,0.0
272,train_loss,0.0
272,train_reward,0.0
273,train_loss,0.0
273,train_reward,0.0
274,train_loss,0.0
